n:1 iterations:1 index:0
n:2 iterations:2 index:1
n:3 iterations:2 index:2
n:4 iterations:3 index:3
n:5 iterations:3 index:4
n:6 iterations:3 index:5
n:7 iterations:3 index:6
n:8 iterations:4 index:7
n:9 iterations:4 index:8
n:10 iterations:4 index:9
n:11 iterations:4 index:10
n:12 iterations:4 index:11
n:13 iterations:4 index:12
n:14 iterations:4 index:13
n:15 iterations:4 index:14
n:16 iterations:5 index:15
n:17 iterations:5 index:16
n:18 iterations:5 index:17
n:19 iterations:5 index:18
n:20 iterations:5 index:19
n:21 iterations:5 index:20
n:22 iterations:5 index:21
n:23 iterations:5 index:22
n:24 iterations:5 index:23
n:25 iterations:5 index:24
n:26 iterations:5 index:25
n:27 iterations:5 index:26
n:28 iterations:5 index:27
n:29 iterations:5 index:28
n:30 iterations:5 index:29
n:31 iterations:5 index:30
n:32 iterations:6 index:31
n:33 iterations:6 index:32
n:34 iterations:6 index:33
n:35 iterations:6 index:34
n:36 iterations:6 index:35
n:37 iterations:6 index:36
n:38 iterations:6 index:37
n:39 iterations:6 index:38
n:40 iterations:6 index:39
n:41 iterations:6 index:40
n:42 iterations:6 index:41
n:43 iterations:6 index:42
n:44 iterations:6 index:43
n:45 iterations:6 index:44
n:46 iterations:6 index:45
n:47 iterations:6 index:46
n:48 iterations:6 index:47
n:49 iterations:6 index:48
n:50 iterations:6 index:49
n:51 iterations:6 index:50
n:52 iterations:6 index:51
n:53 iterations:6 index:52
n:54 iterations:6 index:53
n:55 iterations:6 index:54
n:56 iterations:6 index:55
n:57 iterations:6 index:56
n:58 iterations:6 index:57
n:59 iterations:6 index:58
n:60 iterations:6 index:59
n:61 iterations:6 index:60
n:62 iterations:6 index:61
n:63 iterations:6 index:62
n:64 iterations:7 index:63
n:65 iterations:7 index:64
n:66 iterations:7 index:65
n:67 iterations:7 index:66
n:68 iterations:7 index:67
n:69 iterations:7 index:68
n:70 iterations:7 index:69
n:71 iterations:7 index:70
n:72 iterations:7 index:71
n:73 iterations:7 index:72
n:74 iterations:7 index:73
n:75 iterations:7 index:74
n:76 iterations:7 index:75
n:77 iterations:7 index:76
n:78 iterations:7 index:77
n:79 iterations:7 index:78
n:80 iterations:7 index:79
n:81 iterations:7 index:80
n:82 iterations:7 index:81
n:83 iterations:7 index:82
n:84 iterations:7 index:83
n:85 iterations:7 index:84
n:86 iterations:7 index:85
n:87 iterations:7 index:86
n:88 iterations:7 index:87
n:89 iterations:7 index:88
n:90 iterations:7 index:89
n:91 iterations:7 index:90
n:92 iterations:7 index:91
n:93 iterations:7 index:92
n:94 iterations:7 index:93
n:95 iterations:7 index:94
n:96 iterations:7 index:95
n:97 iterations:7 index:96
n:98 iterations:7 index:97
n:99 iterations:7 index:98
n:100 iterations:7 index:99
n:101 iterations:7 index:100
n:102 iterations:7 index:101
n:103 iterations:7 index:102
n:104 iterations:7 index:103
n:105 iterations:7 index:104
n:106 iterations:7 index:105
n:107 iterations:7 index:106
n:108 iterations:7 index:107
n:109 iterations:7 index:108
n:110 iterations:7 index:109
n:111 iterations:7 index:110
n:112 iterations:7 index:111
n:113 iterations:7 index:112
